Dataset,Poisoning Rate,Attack,Train,Test
phoneme_subset_std,0.2,poison_svm,1.0385406048258097,1.7084349563269923
phoneme_subset_std,0.2,rand_svm,3.5836542976408836,2.315707235381885
phoneme_subset_std,0.3,alfa_svm,0.8827779307390972,2.458403953787903
phoneme_subset_std,0.3,falfa_nn,2.634877250461582,1.3874436925511597
phoneme_subset_std,0.3,poison_svm,1.0763579727544204,1.4404860290887944
phoneme_subset_std,0.3,rand_svm,4.260785945691241,4.355312847546088
ringnorm_subset_std,0.1,alfa_svm,2.950304539365386,2.545829923620191
ringnorm_subset_std,0.1,falfa_nn,4.7970531318716905,2.9186897745392537
ringnorm_subset_std,0.1,poison_svm,0.3485330140867058,0.4677071733467416
ringnorm_subset_std,0.1,rand_svm,2.1335306712114512,0.2850438562747838
ringnorm_subset_std,0.2,alfa_svm,9.743347089168077,11.037719420242569
