Data.Base,Rate,Train.Clean,Test.Clean,Train.Poison,Test.Poison
ringnorm_subset_std,0.1,0.99925,0.9644999999999999,0.9223750000000001,0.901
ringnorm_subset_std,0.15,0.99925,0.9644999999999999,0.9960000000000001,0.8230000000000001
ringnorm_subset_std,0.2,0.99925,0.9644999999999999,0.9418749999999999,0.7635
ringnorm_subset_std,0.25,0.99925,0.9644999999999999,0.999875,0.7150000000000001
ringnorm_subset_std,0.3,0.99925,0.9644999999999999,0.997875,0.6375
ringnorm_subset_std,0.35,0.99925,0.9644999999999999,0.995125,0.631
ringnorm_subset_std,0.4,0.99925,0.9644999999999999,0.997875,0.563
texture_subset_std,0.0,1.0,0.998,1.0,0.998
texture_subset_std,0.05,1.0,0.998,0.9795,0.9490000000000001
texture_subset_std,0.1,1.0,0.998,0.9279999999999999,0.9490000000000001
texture_subset_std,0.15,1.0,0.998,0.959,0.867
