Dataset,Poisoning Rate,Attack,Train,Test
htru2_subset_std,0.1,alfa_svm,1.8374999999999986,9.249999999999998
htru2_subset_std,0.1,falfa_nn,0.8499999999999975,9.45
htru2_subset_std,0.1,poison_svm,4.845822138380815,0.7000000000000028
htru2_subset_std,0.1,rand_svm,9.1125,0.6999999999999984
htru2_subset_std,0.2,alfa_svm,1.4375000000000004,19.749999999999996
htru2_subset_std,0.2,falfa_nn,4.612499999999997,21.9
htru2_subset_std,0.2,poison_svm,8.927445516211268,1.6000000000000014
htru2_subset_std,0.2,rand_svm,18.175,1.5999999999999992
htru2_subset_std,0.3,alfa_svm,2.012499999999997,31.05
htru2_subset_std,0.3,falfa_nn,3.162499999999999,30.8
htru2_subset_std,0.3,poison_svm,12.930078235380503,2.4500000000000033
htru2_subset_std,0.3,rand_svm,26.7125,2.350000000000001
phoneme_subset_std,0.1,alfa_svm,0.23749999999999938,6.75
phoneme_subset_std,0.1,falfa_nn,3.1000000000000023,11.649999999999997
phoneme_subset_std,0.1,poison_svm,3.4992989162457504,0.9499999999999996
phoneme_subset_std,0.1,rand_svm,4.8875,3.4999999999999987
phoneme_subset_std,0.2,alfa_svm,0.11250000000000204,14.1
phoneme_subset_std,0.2,falfa_nn,2.150000000000001,20.45
phoneme_subset_std,0.2,poison_svm,6.724368915541312,2.549999999999999
phoneme_subset_std,0.2,rand_svm,9.5125,7.849999999999997
phoneme_subset_std,0.3,alfa_svm,1.0624999999999996,23.950000000000003
phoneme_subset_std,0.3,falfa_nn,-1.2749999999999997,28.85
phoneme_subset_std,0.3,poison_svm,8.42142991135773,4.6999999999999975
phoneme_subset_std,0.3,rand_svm,11.562500000000004,15.0
ringnorm_subset_std,0.1,alfa_svm,7.037500000000001,3.2000000000000006
ringnorm_subset_std,0.1,falfa_nn,7.687499999999998,6.35
ringnorm_subset_std,0.1,poison_svm,3.2192889713539996,1.7499999999999982
ringnorm_subset_std,0.1,rand_svm,8.337499999999997,0.10000000000000231
ringnorm_subset_std,0.2,alfa_svm,11.225000000000003,26.15
ringnorm_subset_std,0.2,falfa_nn,5.737499999999999,20.1
ringnorm_subset_std,0.2,poison_svm,5.291794223205246,3.3999999999999986
ringnorm_subset_std,0.2,rand_svm,15.6875,0.7500000000000018
ringnorm_subset_std,0.3,alfa_svm,16.4375,44.1
ringnorm_subset_std,0.3,falfa_nn,0.1374999999999993,32.7
ringnorm_subset_std,0.3,poison_svm,7.34795492107984,4.999999999999998
ringnorm_subset_std,0.3,rand_svm,23.412499999999998,5.8999999999999995
texture_subset_std,0.1,alfa_svm,3.5999999999999965,7.9
texture_subset_std,0.1,falfa_nn,7.200000000000003,4.899999999999998
texture_subset_std,0.1,poison_svm,0.7837367238257653,1.200000000000001
texture_subset_std,0.1,rand_svm,8.649999999999997,0.5000000000000004
texture_subset_std,0.2,alfa_svm,1.35,22.3
texture_subset_std,0.2,falfa_nn,5.6499999999999995,24.5
texture_subset_std,0.2,poison_svm,1.7236473299330402,1.8000000000000014
texture_subset_std,0.2,rand_svm,17.075,2.0999999999999996
texture_subset_std,0.3,alfa_svm,2.224999999999999,35.1
texture_subset_std,0.3,falfa_nn,4.849999999999999,34.7
texture_subset_std,0.3,poison_svm,2.5240624567746983,3.0000000000000027
texture_subset_std,0.3,rand_svm,24.55,4.500000000000002
yeast_subset_std,0.1,alfa_svm,2.6928471248246844,10.391061452513965
yeast_subset_std,0.1,falfa_nn,5.385694249649369,2.3463687150837997
yeast_subset_std,0.1,poison_svm,0.06793724910466592,1.899441340782122
yeast_subset_std,0.1,rand_svm,2.6086956521739135,-0.22346368715083553
yeast_subset_std,0.2,alfa_svm,1.4025245441795242,17.094972067039105
yeast_subset_std,0.2,falfa_nn,-0.028050490883588797,12.178770949720672
yeast_subset_std,0.2,poison_svm,-0.19986572783005752,4.134078212290502
yeast_subset_std,0.2,rand_svm,4.796633941093968,1.8994413407821262
yeast_subset_std,0.3,alfa_svm,-5.469845722300137,19.66480446927374
yeast_subset_std,0.3,falfa_nn,-11.837307152875173,13.63128491620112
yeast_subset_std,0.3,poison_svm,1.4645585870590327,6.592178770949721
yeast_subset_std,0.3,rand_svm,6.928471248246844,3.2402234636871525
